"children_college","children_nocollege"
2,1
2,2
5,3
0,2
2,3
1,2
2,2
4,3
2,1
0,2
3,2
1,0
0,2
0,2
2,1
1,1
3,2
3,1
2,4
3,0
1,0
2,2
2,2
2,0
6,0
2,0
3,0
2,3
1,0
2,1
2,2
2,1
0,1
2,0
4,1
2,3
3,3
4,3
1,1
4,0
1,0
0,2
0,4
0,1
5,NA
4,NA
3,NA
2,NA
1,NA
0,NA
0,NA
3,NA
2,NA
1,NA
0,NA
2,NA
1,NA
4,NA
2,NA
1,NA
2,NA
0,NA
1,NA
3,NA
4,NA
0,NA
0,NA
4,NA
3,NA
3,NA
0,NA
1,NA
1,NA
2,NA
0,NA
1,NA
3,NA
2,NA
6,NA
3,NA
3,NA
1,NA
2,NA
1,NA
3,NA
1,NA
3,NA
2,NA
2,NA
2,NA
2,NA
2,NA
3,NA
2,NA
3,NA
0,NA
2,NA
2,NA
3,NA
2,NA
1,NA
4,NA
4,NA
0,NA
2,NA
2,NA
0,NA
2,NA
2,NA
3,NA
0,NA
