"YEAR","AGE","HAPUNHAP"
1998,71,1
1998,69,1
1998,82,1
1998,79,1
1998,72,1
1998,80,0
1998,76,1
1998,69,0
1998,79,0
1998,75,1
1998,66,1
1998,69,1
1998,72,1
1998,77,1
1998,77,1
1998,67,1
1998,71,1
1998,73,1
1998,73,1
1998,73,1
1998,72,1
1998,80,1
1998,85,1
1998,69,1
1998,67,1
1998,68,1
1998,68,1
1998,89,1
1998,85,1
1998,72,1
1998,72,1
1998,66,1
1998,85,1
1998,70,1
1998,75,1
1998,87,1
1998,81,1
1998,73,1
1998,72,1
1998,83,1
1998,72,1
1998,69,1
1998,86,1
1998,75,1
1998,71,1
1998,71,1
1998,80,0
1998,73,1
1998,67,1
1998,67,1
1998,67,1
1998,78,1
1998,80,1
1998,74,1
1998,87,1
1998,75,1
1998,77,1
1998,81,1
1998,84,1
1998,79,1
1998,73,1
1998,73,1
1998,89,1
1998,87,1
1998,79,1
1998,79,1
1998,85,1
1998,70,1
1998,76,1
1998,69,1
1998,83,1
1998,76,1
1998,69,1
1998,77,1
1998,66,0
1998,85,1
1998,66,1
1998,73,1
1998,83,1
1998,89,1
1998,69,1
1998,68,1
1998,77,1
1998,71,0
1998,67,0
1998,72,1
1998,67,0
1998,70,0
1998,82,1
1998,76,1
1998,67,1
1998,75,1
1998,66,1
1998,78,1
1998,79,1
1998,81,1
1998,70,1
1998,69,1
1998,89,0
1998,74,1
1998,69,1
1998,78,1
1998,70,1
1998,66,1
1998,68,1
1998,70,1
1998,68,1
1998,76,1
1998,84,1
1998,78,1
1998,84,1
1998,69,1
1998,73,1
1998,88,1
1998,71,1
1998,85,1
1998,67,1
1998,71,1
1998,77,1
1998,65,1
1998,77,1
1998,76,1
1998,65,1
1998,73,1
1998,81,1
1998,72,0
1998,72,1
1998,68,1
1998,70,1
